Shop Name,Link
MC Solution BD (Jamuna Future Park),https://www.google.com/maps/place/MC+Solution+BD+%28Jamuna+Future+Park%29/data=!4m7!3m6!1s0x3755c7bf3843a32d:0xbe2d6792a7dc54a5!8m2!3d23.8134376!4d90.4233482!16s%2Fg%2F11s7t8xd0z!19sChIJLaNDOL_HVTcRpVTcp5JnLb4?authuser=0&hl=en&rclk=1
PC Tech,https://www.google.com/maps/place/PC+Tech/data=!4m7!3m6!1s0x3755c194f3a2b581:0xa9e11761b370ec97!8m2!3d23.8056856!4d90.3671105!16s%2Fg%2F11m9_d0qmx!19sChIJgbWi85TBVTcRl-xws2EX4ak?authuser=0&hl=en&rclk=1
Cox computer gateway,https://www.google.com/maps/place/Cox+computer+gateway/data=!4m7!3m6!1s0x3755c7b9f5977529:0x901ef9bfdb1a9192!8m2!3d23.8072969!4d90.3783239!16s%2Fg%2F11jzz47fkp!19sChIJKXWX9bnHVTcRkpEa27_5HpA?authuser=0&hl=en&rclk=1
RIPON COMPUTER,https://www.google.com/maps/place/RIPON+COMPUTER/data=!4m7!3m6!1s0x3755c14f287ef5c5:0x5dd8b7619e63ce51!8m2!3d23.7985412!4d90.3654896!16s%2Fg%2F11t42f606j!19sChIJxfV-KE_BVTcRUc5jnmG32F0?authuser=0&hl=en&rclk=1
ডিজিটাল পয়েন্ট,https://www.google.com/maps/place/%E0%A6%A1%E0%A6%BF%E0%A6%9C%E0%A6%BF%E0%A6%9F%E0%A6%BE%E0%A6%B2+%E0%A6%AA%E0%A7%9F%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%9F/data=!4m7!3m6!1s0x3755c195ae426d1f:0x75e08c12202f08a5!8m2!3d23.8093217!4d90.3695261!16s%2Fg%2F11g24rwvbg!19sChIJH21CrpXBVTcRpQgvIBKM4HU?authuser=0&hl=en&rclk=1
Reliablebazar,https://www.google.com/maps/place/Reliablebazar/data=!4m7!3m6!1s0x3755c0e8902efff7:0xe53fefa0525e1f8c!8m2!3d23.7976947!4d90.3530216!16s%2Fg%2F11c1_t_615!19sChIJ9_8ukOjAVTcRjB9eUqDvP-U?authuser=0&hl=en&rclk=1
Binary Logic Corporate,https://www.google.com/maps/place/Binary+Logic+Corporate/data=!4m7!3m6!1s0x3755c74a79ed99e1:0x50fc3275b5f36bea!8m2!3d23.7948345!4d90.3740709!16s%2Fg%2F11hb28tdmg!19sChIJ4ZnteUrHVTcR6mvztXUy_FA?authuser=0&hl=en&rclk=1
Digitech Computers,https://www.google.com/maps/place/Digitech+Computers/data=!4m7!3m6!1s0x3755c742ea13d60b:0x43f3b606f0847c84!8m2!3d23.7781494!4d90.379516!16s%2Fg%2F11yd70s7vg!19sChIJC9YT6kLHVTcRhHyE8Aa280M?authuser=0&hl=en&rclk=1
Laptop Paradise,https://www.google.com/maps/place/Laptop+Paradise/data=!4m7!3m6!1s0x3755c70049667969:0x3cd962f48cf281c5!8m2!3d23.8129994!4d90.4233732!16s%2Fg%2F11y8gdw4qr!19sChIJaXlmSQDHVTcRxYHyjPRi2Tw?authuser=0&hl=en&rclk=1
Bismillah Photocopy & Stationary,https://www.google.com/maps/place/Bismillah+Photocopy+%26+Stationary/data=!4m7!3m6!1s0x3755c14af86c1223:0x12ccaf4eee8d8079!8m2!3d23.8091668!4d90.3651834!16s%2Fg%2F11syrl8pny!19sChIJIxJs-ErBVTcReYCN7k6vzBI?authuser=0&hl=en&rclk=1
3M HITECH PROFESSIONALS,https://www.google.com/maps/place/3M+HITECH+PROFESSIONALS/data=!4m7!3m6!1s0x3755c0d69218c79d:0x9c1442c34c6d6bf1!8m2!3d23.806741!4d90.3691239!16s%2Fg%2F11f_zlmk5j!19sChIJnccYktbAVTcR8WttTMNCFJw?authuser=0&hl=en&rclk=1
Laptop World Zone,https://www.google.com/maps/place/Laptop+World+Zone/data=!4m7!3m6!1s0x3755c0d692c00001:0xf47ea11312a4972f!8m2!3d23.8066302!4d90.3690243!16s%2Fg%2F11h8w05455!19sChIJAQDAktbAVTcRL5ekEhOhfvQ?authuser=0&hl=en&rclk=1
DB Technologies,https://www.google.com/maps/place/DB+Technologies/data=!4m7!3m6!1s0x3755b89e20b58b75:0xa8e949c27aecd233!8m2!3d23.7875126!4d90.3702943!16s%2Fg%2F1q62k434k!19sChIJdYu1IJ64VTcRM9LsesJJ6ag?authuser=0&hl=en&rclk=1
CD Gallery,https://www.google.com/maps/place/CD+Gallery/data=!4m7!3m6!1s0x3755c13af22b95c7:0xebe51b15c17c7052!8m2!3d23.8241972!4d90.3646513!16s%2Fg%2F11clwfx3vd!19sChIJx5Ur8jrBVTcRUnB8wRUb5es?authuser=0&hl=en&rclk=1
Computer Source - IDB Branch,https://www.google.com/maps/place/Computer+Source+-+IDB+Branch/data=!4m7!3m6!1s0x3755c74c2671232f:0xc38291e5c71b43c9!8m2!3d23.7784886!4d90.3793138!16s%2Fg%2F11h19dc47!19sChIJLyNxJkzHVTcRyUMbx-WRgsM?authuser=0&hl=en&rclk=1
LAPTOP HUB,https://www.google.com/maps/place/LAPTOP+HUB/data=!4m7!3m6!1s0x3755c5876cc61eeb:0x64af6f96000f4cb5!8m2!3d23.8682747!4d90.3999287!16s%2Fg%2F11wq99f3gr!19sChIJ6x7GbIfFVTcRtUwPAJZvr2Q?authuser=0&hl=en&rclk=1
Best Used Laptop Shop In Bd | Etc Computer,https://www.google.com/maps/place/Best+Used+Laptop+Shop+In+Bd+%7C+Etc+Computer/data=!4m7!3m6!1s0x3755b8c7fe71e247:0x310472cc71e5cfde!8m2!3d23.7385943!4d90.384385!16s%2Fg%2F11f0ky0ntt!19sChIJR-Jx_se4VTcR3s_lccxyBDE?authuser=0&hl=en&rclk=1
